[2025-09-10 16:00:56+0300] [INFO] Starting model server on 37909 for compression
[2025-09-10 16:00:56+0300] [INFO] which python: /usr/bin/python
Python 3.6.8
[2025-09-10 16:00:56+0300] [INFO] which uvicorn: /export/home/proiecte/aux/ovidiu.ghibea/.local/bin/uvicorn
[2025-09-10 16:00:56+0300] [INFO] key env: MCP_TRANSPORT=stdio MCP_BASE_DIR=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/MCP-main
[2025-09-10 16:00:56+0300] [INFO] SLURM_JOB_GPUS=1 CUDA_VISIBLE_DEVICES=0
[2025-09-10 16:00:56+0300] [INFO] Uvicorn (srun step) PID: 3088194
[2025-09-10 16:00:56+0300] [INFO] Waiting for model server health...
[2025-09-10 16:00:58+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:00+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:02+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:04+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:06+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:08+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:10+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:12+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:14+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:16+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:18+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:20+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:22+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:24+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:26+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:28+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:30+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:32+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:34+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:36+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:38+0300] [INFO] Waiting for model server health...
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
[2025-09-10 16:01:40+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:42+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:45+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:47+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:49+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:51+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:53+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:55+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:57+0300] [INFO] Waiting for model server health...
[2025-09-10 16:01:59+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:01+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:03+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:05+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:07+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:09+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:11+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:13+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:15+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:19+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:21+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:23+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:25+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:27+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:29+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:31+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:33+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:35+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:37+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:39+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:41+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:43+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:45+0300] [INFO] Waiting for model server health...
[2025-09-10 16:02:47+0300] [INFO] Waiting for model server health...
